cell_id,latitude,longitude,min_distance_to_known_deposit_km,structural_density,lineament_density,lithology_favorability,spectral_alteration_index,elevation_m,slope_deg,ndvi,ndwi,land_surface_temp_c,soil_moisture,bare_soil_index,ground_truth_probability,mineralized_target
CELL_0193,21.83684,79.84842,1.76,0.731,0.688,0.521,0.7,362.2,13.5,0.338,-0.057,35.8,0.318,0.638,0.943,1
CELL_0194,21.83684,79.85579,1.14,0.701,0.534,0.522,0.635,358.7,13.3,0.4,-0.057,36.6,0.331,0.591,0.917,1
CELL_0195,21.83684,79.86316,0.91,0.639,0.545,0.682,0.544,356.1,13.6,0.389,-0.053,35.2,0.32,0.564,0.93,1
CELL_0196,21.83684,79.87053,1.31,0.678,0.585,0.674,0.568,374.6,12.5,0.4,-0.037,34.5,0.25,0.566,0.947,1
CELL_0197,21.83684,79.87789,1.98,0.722,0.564,0.44,0.534,384.4,18.5,0.457,-0.119,36.6,0.297,0.52,0.872,1
CELL_0198,21.83684,79.88526,2.74,0.47,0.334,0.503,0.6,353.2,11.5,0.484,-0.045,36.3,0.241,0.547,0.62,1
CELL_0199,21.83684,79.89263,3.52,0.458,0.557,0.364,0.48,373.6,10.9,0.513,0.031,33.6,0.336,0.465,0.5,0
CELL_0200,21.83684,79.9,4.31,0.436,0.448,0.396,0.378,362.1,10.3,0.421,-0.008,36.5,0.276,0.553,0.299,0
CELL_0201,21.84316,79.76,5.55,0.458,0.561,0.341,0.288,379.7,11.9,0.235,-0.042,36.0,0.315,0.738,0.221,0
CELL_0202,21.84316,79.76737,4.83,0.341,0.225,0.304,0.291,404.3,8.4,0.309,-0.027,33.8,0.246,0.695,0.127,0
CELL_0203,21.84316,79.77474,4.14,0.324,0.372,0.466,0.479,372.0,7.4,0.255,0.08,34.8,0.322,0.707,0.337,0
CELL_0204,21.84316,79.78211,3.51,0.584,0.631,0.465,0.417,386.1,13.6,0.245,-0.096,34.2,0.29,0.863,0.702,1
CELL_0205,21.84316,79.78947,2.97,0.493,0.475,0.523,0.477,354.5,16.8,0.257,-0.026,35.1,0.271,0.792,0.623,1
CELL_0206,21.84316,79.79684,2.59,0.426,0.431,0.664,0.509,359.2,10.5,0.32,-0.066,37.8,0.227,0.668,0.723,1
CELL_0207,21.84316,79.80421,2.43,0.509,0.464,0.429,0.626,368.3,11.0,0.409,0.03,35.9,0.285,0.578,0.72,1
CELL_0208,21.84316,79.81158,2.53,0.559,0.5,0.429,0.622,365.1,11.4,0.385,-0.01,33.3,0.305,0.58,0.749,1
CELL_0209,21.84316,79.81895,2.88,0.637,0.658,0.533,0.5,381.9,14.7,0.464,-0.054,36.0,0.281,0.553,0.85,1
CELL_0210,21.84316,79.82632,3.39,0.648,0.629,0.348,0.517,362.7,14.3,0.495,-0.045,35.7,0.289,0.418,0.677,1
CELL_0211,21.84316,79.83368,3.15,0.371,0.186,0.287,0.525,382.3,11.3,0.417,-0.045,35.2,0.317,0.54,0.279,0
CELL_0212,21.84316,79.84105,2.33,0.546,0.595,0.524,0.498,371.2,14.8,0.349,-0.092,35.8,0.29,0.655,0.796,1
CELL_0213,21.84316,79.84842,1.52,0.64,0.589,0.334,0.513,365.0,12.9,0.393,-0.033,35.4,0.249,0.589,0.778,1
CELL_0214,21.84316,79.85579,0.72,0.701,0.55,0.556,0.533,370.3,18.2,0.493,-0.078,36.4,0.264,0.429,0.927,1
CELL_0215,21.84316,79.86316,0.24,0.717,0.61,0.907,0.642,364.7,14.6,0.414,-0.043,36.5,0.333,0.529,0.97,1
CELL_0216,21.84316,79.87053,0.97,0.648,0.641,0.68,0.703,378.9,12.1,0.377,0.002,36.1,0.325,0.698,0.969,1
CELL_0217,21.84316,79.87789,1.78,0.772,0.773,0.637,0.632,375.2,17.0,0.469,-0.072,34.5,0.239,0.574,0.969,1
CELL_0218,21.84316,79.88526,2.59,0.556,0.619,0.366,0.428,372.0,12.4,0.554,-0.041,35.3,0.346,0.411,0.647,1
CELL_0219,21.84316,79.89263,3.41,0.534,0.646,0.445,0.508,379.4,12.4,0.41,-0.003,35.3,0.276,0.571,0.707,1
CELL_0220,21.84316,79.9,4.22,0.592,0.577,0.416,0.336,374.3,12.2,0.425,0.015,37.7,0.291,0.602,0.502,1
CELL_0221,21.84947,79.76,5.28,0.33,0.3,0.364,0.495,382.2,9.3,0.231,0.003,36.0,0.329,0.792,0.196,0
CELL_0222,21.84947,79.76737,4.52,0.398,0.469,0.297,0.316,374.2,11.1,0.27,0.011,38.0,0.362,0.779,0.197,0
CELL_0223,21.84947,79.77474,3.78,0.499,0.499,0.418,0.485,403.1,12.7,0.313,0.013,33.8,0.253,0.659,0.605,1
CELL_0224,21.84947,79.78211,3.07,0.582,0.654,0.567,0.641,385.1,12.7,0.343,-0.019,36.1,0.307,0.625,0.883,1
CELL_0225,21.84947,79.78947,2.44,0.656,0.655,0.643,0.442,385.5,11.7,0.2,0.02,33.7,0.358,0.857,0.9,1
CELL_0226,21.84947,79.79684,1.95,0.494,0.441,0.587,0.872,385.0,7.4,0.338,-0.025,37.6,0.317,0.758,0.919,1
CELL_0227,21.84947,79.80421,1.73,0.605,0.573,0.713,0.68,375.6,11.9,0.348,-0.018,36.3,0.238,0.63,0.949,1
CELL_0228,21.84947,79.81158,1.87,0.65,0.617,0.7,0.77,370.9,10.1,0.449,-0.006,34.4,0.306,0.571,0.964,1
CELL_0229,21.84947,79.81895,2.32,0.753,0.733,0.643,0.61,360.4,13.7,0.371,-0.034,36.4,0.288,0.644,0.949,1
CELL_0230,21.84947,79.82632,2.93,0.48,0.548,0.565,0.638,411.9,11.0,0.359,0.058,35.2,0.338,0.605,0.857,1
CELL_0231,21.84947,79.83368,3.18,0.489,0.551,0.435,0.406,378.4,9.8,0.39,-0.106,39.4,0.305,0.667,0.574,1
CELL_0232,21.84947,79.84105,2.38,0.534,0.454,0.439,0.495,362.2,14.3,0.378,-0.036,35.0,0.218,0.549,0.652,1
CELL_0233,21.84947,79.84842,1.59,0.802,0.805,0.818,0.619,378.6,14.4,0.431,-0.069,34.2,0.269,0.521,0.97,1
CELL_0234,21.84947,79.85579,0.85,0.622,0.705,0.49,0.605,376.6,11.4,0.435,0.009,37.5,0.29,0.519,0.929,1
CELL_0235,21.84947,79.86316,0.51,0.928,0.93,0.673,0.714,388.7,17.1,0.466,-0.072,35.0,0.193,0.577,0.97,1
CELL_0236,21.84947,79.87053,1.07,0.59,0.659,0.566,0.688,362.5,14.0,0.402,-0.023,37.7,0.272,0.659,0.935,1
CELL_0237,21.84947,79.87789,1.83,0.491,0.495,0.737,0.561,380.0,11.7,0.575,-0.004,36.5,0.229,0.404,0.898,1
CELL_0238,21.84947,79.88526,2.63,0.499,0.724,0.569,0.712,371.8,14.1,0.477,-0.113,35.2,0.218,0.475,0.894,1
CELL_0239,21.84947,79.89263,3.44,0.288,0.127,0.386,0.567,385.0,10.2,0.432,0.026,33.8,0.322,0.608,0.281,0
CELL_0240,21.84947,79.9,4.25,0.42,0.429,0.392,0.304,384.3,8.9,0.457,-0.019,35.9,0.323,0.479,0.285,0
CELL_0241,21.85579,79.76,5.1,0.308,0.403,0.425,0.504,388.0,4.8,0.247,0.112,34.2,0.273,0.792,0.286,0
CELL_0242,21.85579,79.76737,4.3,0.385,0.403,0.497,0.416,368.3,12.0,0.256,-0.057,35.6,0.305,0.73,0.358,0
CELL_0243,21.85579,79.77474,3.51,0.52,0.582,0.613,0.531,383.2,12.5,0.298,-0.043,35.7,0.338,0.77,0.796,1
CELL_0244,21.85579,79.78211,2.74,0.635,0.647,0.385,0.598,373.0,14.2,0.357,-0.02,35.6,0.346,0.634,0.805,1
CELL_0245,21.85579,79.78947,2.0,0.741,0.728,0.771,0.596,389.7,12.7,0.286,0.01,35.1,0.368,0.688,0.97,1
CELL_0246,21.85579,79.79684,1.37,0.891,0.767,0.727,0.725,403.6,20.6,0.375,-0.059,33.5,0.227,0.583,0.97,1
CELL_0247,21.85579,79.80421,1.03,0.687,0.545,0.842,0.674,377.4,17.3,0.327,-0.108,36.1,0.271,0.575,0.97,1
CELL_0248,21.85579,79.81158,1.26,0.626,0.577,0.737,0.716,374.0,13.7,0.42,-0.053,36.9,0.298,0.594,0.966,1
CELL_0249,21.85579,79.81895,1.86,0.595,0.661,0.631,0.546,368.6,15.1,0.466,-0.011,34.5,0.35,0.548,0.909,1
CELL_0250,21.85579,79.82632,2.58,0.542,0.5,0.686,0.481,389.8,11.1,0.355,0.024,36.3,0.381,0.62,0.856,1
CELL_0251,21.85579,79.83368,2.91,0.537,0.551,0.526,0.571,386.9,13.4,0.328,-0.017,36.9,0.279,0.653,0.804,1
CELL_0252,21.85579,79.84105,2.62,0.42,0.453,0.454,0.598,387.6,9.2,0.415,-0.033,35.1,0.344,0.558,0.684,1
CELL_0253,21.85579,79.84842,1.93,0.542,0.491,0.639,0.647,379.3,13.0,0.485,-0.118,35.8,0.272,0.481,0.899,1
CELL_0254,21.85579,79.85579,1.38,0.537,0.534,0.734,0.647,380.5,7.7,0.479,0.016,37.3,0.265,0.575,0.942,1
CELL_0255,21.85579,79.86316,1.2,0.641,0.845,0.503,0.401,365.4,15.0,0.477,-0.078,33.8,0.219,0.578,0.897,1
CELL_0256,21.85579,79.87053,1.53,0.459,0.479,0.473,0.588,388.2,11.2,0.411,0.014,37.7,0.291,0.565,0.798,1
CELL_0257,21.85579,79.87789,2.13,0.39,0.522,0.524,0.47,374.6,9.9,0.424,-0.049,35.0,0.322,0.553,0.678,1
CELL_0258,21.85579,79.88526,2.85,0.559,0.604,0.442,0.379,379.6,13.4,0.437,-0.051,35.9,0.28,0.55,0.669,1
CELL_0259,21.85579,79.89263,3.6,0.26,0.362,0.394,0.4,380.9,6.6,0.437,0.045,35.3,0.254,0.638,0.251,0
CELL_0260,21.85579,79.9,4.38,0.544,0.552,0.382,0.363,393.0,16.3,0.372,-0.093,32.6,0.247,0.635,0.473,0
CELL_0261,21.86211,79.76,5.01,0.502,0.377,0.463,0.305,392.1,10.5,0.26,-0.009,34.2,0.298,0.739,0.333,0
CELL_0262,21.86211,79.76737,4.19,0.572,0.523,0.439,0.392,397.9,11.3,0.215,-0.046,37.2,0.303,0.814,0.58,1
CELL_0263,21.86211,79.77474,3.37,0.476,0.365,0.622,0.571,379.7,13.6,0.3,-0.041,35.0,0.211,0.629,0.72,1
CELL_0264,21.86211,79.78211,2.56,0.679,0.678,0.461,0.542,393.1,16.4,0.32,-0.071,35.2,0.296,0.678,0.88,1
CELL_0265,21.86211,79.78947,1.75,0.823,0.795,0.839,0.664,381.5,16.2,0.352,-0.042,36.3,0.289,0.677,0.97,1
CELL_0266,21.86211,79.79684,0.96,0.936,0.785,0.792,0.818,370.7,14.1,0.354,-0.008,33.6,0.297,0.642,0.97,1
CELL_0267,21.86211,79.80421,0.33,0.98,0.98,0.99,0.805,393.7,15.7,0.238,-0.01,35.8,0.331,0.779,0.97,1
CELL_0268,21.86211,79.81158,0.8,0.875,0.843,0.901,0.778,389.1,17.3,0.381,-0.09,33.2,0.288,0.689,0.97,1
CELL_0269,21.86211,79.81895,1.58,0.858,0.879,0.959,0.669,382.9,16.7,0.403,-0.048,32.3,0.283,0.587,0.97,1
CELL_0270,21.86211,79.82632,2.39,0.456,0.45,0.522,0.626,401.2,10.7,0.397,0.004,34.6,0.324,0.577,0.805,1
CELL_0271,21.86211,79.83368,2.21,0.644,0.53,0.665,0.516,390.2,12.5,0.405,-0.053,34.0,0.338,0.588,0.911,1
CELL_0272,21.86211,79.84105,2.31,0.747,0.804,0.6,0.759,386.3,13.9,0.369,-0.099,35.8,0.268,0.635,0.97,1
CELL_0273,21.86211,79.84842,2.42,0.579,0.535,0.63,0.453,394.8,12.7,0.386,0.013,35.5,0.389,0.588,0.857,1
CELL_0274,21.86211,79.85579,2.02,0.483,0.499,0.563,0.584,401.2,9.9,0.426,0.044,33.7,0.337,0.698,0.852,1
CELL_0275,21.86211,79.86316,1.9,0.685,0.651,0.325,0.631,385.1,14.7,0.443,0.001,34.0,0.222,0.505,0.868,1
CELL_0276,21.86211,79.87053,2.12,0.573,0.525,0.517,0.594,399.4,15.9,0.446,-0.092,34.7,0.258,0.547,0.871,1
CELL_0277,21.86211,79.87789,2.59,0.587,0.534,0.596,0.363,391.6,12.7,0.437,0.08,31.6,0.32,0.498,0.795,1
CELL_0278,21.86211,79.88526,3.21,0.537,0.484,0.344,0.52,395.2,10.9,0.478,-0.09,35.3,0.249,0.434,0.616,1
CELL_0279,21.86211,79.89263,3.89,0.436,0.618,0.284,0.302,395.0,13.2,0.458,-0.063,32.5,0.236,0.63,0.345,0
CELL_0280,21.86211,79.9,4.63,0.541,0.591,0.381,0.341,389.1,13.3,0.516,-0.071,31.4,0.237,0.511,0.443,0
CELL_0281,21.86842,79.76,5.01,0.4,0.355,0.358,0.396,401.4,12.4,0.253,0.008,32.8,0.334,0.695,0.252,0
CELL_0282,21.86842,79.76737,4.19,0.491,0.422,0.509,0.46,403.0,12.4,0.241,0.031,34.2,0.224,0.768,0.586,1
CELL_0283,21.86842,79.77474,3.38,0.506,0.513,0.42,0.374,402.7,13.1,0.274,-0.045,34.4,0.274,0.691,0.575,1
CELL_0284,21.86842,79.78211,2.57,0.45,0.458,0.533,0.462,392.5,13.4,0.365,-0.042,37.3,0.262,0.686,0.699,1
CELL_0285,21.86842,79.78947,1.76,0.641,0.572,0.716,0.8,403.1,11.7,0.39,-0.063,34.7,0.236,0.649,0.97,1
CELL_0286,21.86842,79.79684,0.98,0.788,0.77,0.99,0.641,392.6,21.1,0.397,-0.132,34.8,0.258,0.653,0.97,1
CELL_0287,21.86842,79.80421,0.39,0.769,0.731,0.767,0.917,400.0,11.1,0.379,-0.065,33.4,0.258,0.529,0.97,1
CELL_0288,21.86842,79.81158,0.82,0.775,0.772,0.99,0.663,414.0,17.7,0.467,-0.04,31.8,0.291,0.474,0.97,1
CELL_0289,21.86842,79.81895,1.59,0.559,0.607,0.727,0.804,371.9,10.5,0.376,-0.014,34.5,0.255,0.651,0.963,1
CELL_0290,21.86842,79.82632,1.79,0.762,0.565,0.51,0.683,396.2,14.2,0.475,0.034,35.1,0.312,0.57,0.948,1
CELL_0291,21.86842,79.83368,1.51,0.703,0.75,0.769,0.552,396.6,10.7,0.365,0.07,34.8,0.364,0.523,0.97,1
CELL_0292,21.86842,79.84105,1.65,0.56,0.344,0.598,0.705,391.2,14.7,0.447,-0.021,36.7,0.283,0.507,0.899,1
CELL_0293,21.86842,79.84842,2.12,0.59,0.71,0.739,0.658,388.8,15.1,0.382,-0.052,34.2,0.257,0.626,0.96,1
CELL_0294,21.86842,79.85579,2.69,0.498,0.455,0.463,0.429,406.5,11.1,0.435,-0.014,33.7,0.365,0.627,0.679,1
CELL_0295,21.86842,79.86316,2.6,0.576,0.711,0.446,0.577,391.8,11.8,0.481,-0.015,35.9,0.217,0.473,0.852,1
CELL_0296,21.86842,79.87053,2.77,0.542,0.528,0.4,0.513,396.7,12.4,0.436,-0.002,35.1,0.318,0.597,0.716,1
CELL_0297,21.86842,79.87789,3.14,0.591,0.706,0.402,0.416,416.5,9.9,0.547,-0.006,31.5,0.305,0.403,0.776,1
CELL_0298,21.86842,79.88526,3.66,0.378,0.426,0.417,0.527,391.0,11.6,0.457,-0.045,35.4,0.265,0.542,0.481,0
CELL_0299,21.86842,79.89263,4.28,0.392,0.392,0.257,0.336,393.3,7.8,0.456,-0.09,32.8,0.293,0.585,0.2,0
CELL_0300,21.86842,79.9,4.95,0.284,0.222,0.427,0.315,406.8,7.7,0.471,-0.017,33.3,0.372,0.524,0.163,0
CELL_0301,21.87474,79.76,5.11,0.465,0.498,0.5,0.348,410.5,9.8,0.239,0.01,32.4,0.262,0.845,0.456,0
CELL_0302,21.87474,79.76737,4.31,0.41,0.445,0.432,0.409,401.1,8.3,0.271,0.019,34.5,0.337,0.726,0.416,0
CELL_0303,21.87474,79.77474,3.53,0.481,0.595,0.586,0.639,409.2,12.7,0.322,-0.059,34.5,0.271,0.666,0.849,1
CELL_0304,21.87474,79.78211,2.76,0.614,0.716,0.507,0.554,404.4,10.8,0.287,0.059,33.2,0.303,0.686,0.891,1
CELL_0305,21.87474,79.78947,2.03,0.575,0.515,0.771,0.553,406.5,12.0,0.307,0.047,33.8,0.365,0.633,0.941,1
CELL_0306,21.87474,79.79684,1.41,0.848,0.92,0.615,0.627,413.6,18.9,0.298,0.016,34.3,0.272,0.702,0.97,1
CELL_0307,21.87474,79.80421,1.08,0.809,0.722,0.876,0.662,394.9,10.9,0.405,-0.005,33.9,0.32,0.673,0.97,1
CELL_0308,21.87474,79.81158,1.3,0.833,0.86,0.791,0.651,400.6,19.6,0.468,-0.109,34.2,0.307,0.577,0.97,1
CELL_0309,21.87474,79.81895,1.89,0.81,0.751,0.478,0.537,403.1,14.6,0.325,-0.097,35.0,0.288,0.637,0.95,1
CELL_0310,21.87474,79.82632,1.26,0.894,0.86,0.938,0.755,413.4,18.4,0.438,-0.024,34.5,0.333,0.487,0.97,1
CELL_0311,21.87474,79.83368,0.82,0.767,0.709,0.782,0.95,406.1,13.8,0.432,-0.003,34.3,0.344,0.535,0.97,1
CELL_0312,21.87474,79.84105,1.05,0.9,0.792,0.843,0.777,404.5,17.9,0.379,-0.134,32.6,0.274,0.63,0.97,1
CELL_0313,21.87474,79.84842,1.69,0.772,0.728,0.714,0.617,375.5,15.8,0.458,-0.099,36.1,0.258,0.615,0.97,1
CELL_0314,21.87474,79.85579,2.44,0.66,0.664,0.568,0.609,388.2,9.8,0.484,-0.072,34.7,0.299,0.596,0.921,1
CELL_0315,21.87474,79.86316,3.23,0.534,0.494,0.435,0.581,380.1,12.8,0.459,-0.035,35.9,0.299,0.582,0.694,1
CELL_0316,21.87474,79.87053,3.43,0.511,0.443,0.185,0.45,415.4,8.8,0.461,-0.1,33.7,0.223,0.556,0.42,0
CELL_0317,21.87474,79.87789,3.74,0.368,0.381,0.43,0.436,412.8,8.7,0.413,-0.046,33.3,0.243,0.565,0.446,0
CELL_0318,21.87474,79.88526,4.19,0.336,0.332,0.396,0.212,397.3,9.6,0.463,-0.013,34.8,0.407,0.547,0.186,0
CELL_0319,21.87474,79.89263,4.74,0.502,0.52,0.176,0.426,402.0,11.8,0.443,-0.074,35.9,0.306,0.703,0.292,0
CELL_0320,21.87474,79.9,5.36,0.329,0.334,0.431,0.341,395.8,10.4,0.495,-0.024,35.5,0.292,0.412,0.193,0
CELL_0321,21.88105,79.76,5.3,0.261,0.096,0.362,0.228,415.0,4.6,0.207,0.043,34.9,0.207,0.79,0.078,0
CELL_0322,21.88105,79.76737,4.54,0.623,0.714,0.081,0.31,386.1,14.0,0.29,0.006,31.6,0.308,0.72,0.298,0
CELL_0323,21.88105,79.77474,3.8,0.382,0.472,0.401,0.303,398.3,10.8,0.327,-0.042,32.9,0.306,0.609,0.348,0
CELL_0324,21.88105,79.78211,3.1,0.586,0.545,0.569,0.515,389.6,12.4,0.315,0.02,34.1,0.267,0.647,0.819,1
CELL_0325,21.88105,79.78947,2.48,0.499,0.406,0.745,0.606,410.3,13.6,0.256,-0.034,32.8,0.378,0.767,0.904,1
CELL_0326,21.88105,79.79684,2.0,0.638,0.688,0.604,0.581,411.2,14.2,0.293,-0.05,33.0,0.296,0.75,0.946,1
CELL_0327,21.88105,79.80421,1.78,0.631,0.698,0.697,0.593,399.8,14.0,0.385,0.003,36.6,0.273,0.618,0.961,1
CELL_0328,21.88105,79.81158,1.93,0.715,0.609,0.696,0.594,408.8,14.5,0.346,-0.029,36.4,0.236,0.606,0.965,1
CELL_0329,21.88105,79.81895,1.78,0.761,0.726,0.627,0.557,405.8,17.6,0.405,-0.041,31.7,0.299,0.56,0.967,1
CELL_0330,21.88105,79.82632,0.97,0.959,0.98,0.889,0.734,407.8,18.6,0.489,-0.116,33.1,0.301,0.521,0.97,1
CELL_0331,21.88105,79.83368,0.18,0.98,0.98,0.99,0.932,417.0,20.7,0.362,-0.059,35.8,0.259,0.619,0.97,1
CELL_0332,21.88105,79.84105,0.68,0.98,0.978,0.887,0.927,422.7,17.6,0.333,0.009,34.1,0.311,0.618,0.97,1
CELL_0333,21.88105,79.84842,1.49,0.98,0.937,0.824,0.666,415.1,21.0,0.452,-0.055,34.2,0.352,0.551,0.97,1
CELL_0334,21.88105,79.85579,2.31,0.652,0.793,0.695,0.61,410.6,13.2,0.462,0.017,34.8,0.327,0.532,0.968,1
CELL_0335,21.88105,79.86316,3.13,0.419,0.5,0.565,0.384,427.0,9.5,0.494,-0.055,32.6,0.296,0.509,0.704,1
CELL_0336,21.88105,79.87053,3.94,0.43,0.503,0.431,0.413,421.4,8.7,0.405,-0.047,34.3,0.183,0.55,0.545,1
CELL_0337,21.88105,79.87789,4.37,0.383,0.426,0.409,0.534,429.7,8.5,0.51,0.022,33.6,0.278,0.575,0.518,1
CELL_0338,21.88105,79.88526,4.76,0.52,0.532,0.342,0.476,408.3,13.3,0.411,-0.106,36.5,0.224,0.597,0.493,0
CELL_0339,21.88105,79.89263,5.25,0.314,0.311,0.379,0.412,413.2,9.5,0.461,-0.01,33.7,0.294,0.555,0.215,0
CELL_0340,21.88105,79.9,5.81,0.247,0.256,0.33,0.199,437.4,5.1,0.482,0.03,34.1,0.346,0.539,0.087,0
CELL_0341,21.88737,79.76,5.58,0.305,0.155,0.499,0.4,420.9,8.0,0.159,0.046,34.2,0.259,0.803,0.215,0
CELL_0342,21.88737,79.76737,4.86,0.539,0.61,0.193,0.404,426.3,12.8,0.238,-0.036,32.0,0.276,0.865,0.405,0
CELL_0343,21.88737,79.77474,4.18,0.46,0.451,0.548,0.455,424.8,11.8,0.32,-0.034,31.1,0.259,0.721,0.657,1
CELL_0344,21.88737,79.78211,3.55,0.478,0.418,0.364,0.345,408.5,12.5,0.31,0.037,34.1,0.31,0.709,0.437,0
CELL_0345,21.88737,79.78947,3.02,0.504,0.341,0.564,0.677,400.1,16.6,0.28,-0.064,34.7,0.315,0.692,0.803,1
CELL_0346,21.88737,79.79684,2.64,0.693,0.648,0.563,0.56,415.9,17.2,0.346,-0.006,33.7,0.288,0.722,0.93,1
CELL_0347,21.88737,79.80421,2.48,0.561,0.486,0.717,0.534,409.7,12.7,0.327,0.006,34.7,0.334,0.662,0.909,1
CELL_0348,21.88737,79.81158,2.59,0.548,0.477,0.638,0.695,422.1,12.3,0.36,0.024,32.5,0.28,0.586,0.924,1
CELL_0349,21.88737,79.81895,1.88,0.589,0.562,0.653,0.72,418.7,15.0,0.387,-0.004,34.2,0.341,0.641,0.958,1
CELL_0350,21.88737,79.82632,1.13,0.74,0.773,0.859,0.659,432.2,11.2,0.398,0.013,34.0,0.321,0.576,0.97,1
CELL_0351,21.88737,79.83368,0.61,0.98,0.816,0.938,0.811,431.6,17.6,0.389,-0.107,32.6,0.297,0.616,0.97,1
CELL_0352,21.88737,79.84105,0.9,0.847,0.805,0.629,0.703,393.5,15.8,0.511,-0.014,34.1,0.342,0.507,0.97,1
CELL_0353,21.88737,79.84842,1.6,0.86,0.837,0.612,0.741,409.9,14.7,0.383,-0.045,30.9,0.319,0.558,0.97,1
CELL_0354,21.88737,79.85579,2.38,0.538,0.381,0.468,0.57,399.5,12.0,0.452,-0.034,36.4,0.285,0.463,0.765,1
CELL_0355,21.88737,79.86316,3.18,0.538,0.65,0.562,0.622,425.7,15.9,0.345,-0.062,34.0,0.285,0.617,0.898,1
CELL_0356,21.88737,79.87053,3.99,0.522,0.438,0.321,0.45,392.3,15.2,0.451,-0.101,33.5,0.305,0.565,0.44,0
CELL_0357,21.88737,79.87789,4.8,0.328,0.35,0.532,0.36,427.1,13.4,0.417,-0.04,35.3,0.357,0.611,0.38,0
CELL_0358,21.88737,79.88526,5.37,0.273,0.266,0.497,0.161,422.5,11.7,0.417,0.089,35.3,0.303,0.612,0.147,0
CELL_0359,21.88737,79.89263,5.8,0.382,0.393,0.337,0.232,409.6,8.6,0.428,0.007,33.0,0.287,0.623,0.142,0
CELL_0360,21.88737,79.9,6.32,0.503,0.442,0.301,0.243,430.5,13.1,0.407,-0.044,31.8,0.304,0.655,0.201,0
CELL_0361,21.89368,79.76,5.92,0.396,0.364,0.403,0.275,417.1,9.9,0.214,-0.03,31.2,0.282,0.72,0.194,0
CELL_0362,21.89368,79.76737,5.25,0.456,0.374,0.239,0.421,421.3,9.6,0.191,-0.016,31.4,0.334,0.765,0.249,0
CELL_0363,21.89368,79.77474,4.63,0.568,0.582,0.495,0.473,429.0,12.0,0.323,0.01,33.8,0.326,0.674,0.733,1
CELL_0364,21.89368,79.78211,4.07,0.517,0.689,0.541,0.501,433.8,10.9,0.294,0.011,33.2,0.355,0.719,0.824,1
CELL_0365,21.89368,79.78947,3.62,0.437,0.481,0.547,0.487,417.3,11.5,0.32,0.011,34.2,0.296,0.635,0.699,1
CELL_0366,21.89368,79.79684,3.31,0.549,0.48,0.461,0.523,429.3,13.5,0.373,-0.072,32.1,0.264,0.574,0.774,1
CELL_0367,21.89368,79.80421,3.19,0.587,0.571,0.501,0.467,436.3,14.3,0.387,-0.011,33.8,0.271,0.63,0.836,1
CELL_0368,21.89368,79.81158,2.91,0.569,0.529,0.386,0.681,416.8,16.6,0.423,-0.094,35.0,0.284,0.579,0.83,1
CELL_0369,21.89368,79.81895,2.2,0.714,0.721,0.712,0.64,419.7,13.2,0.404,-0.013,32.7,0.367,0.576,0.97,1
CELL_0370,21.89368,79.82632,1.62,0.689,0.75,0.752,0.647,420.8,12.3,0.415,-0.054,32.6,0.273,0.657,0.97,1
CELL_0371,21.89368,79.83368,1.31,0.792,0.795,0.594,0.678,427.5,18.5,0.421,-0.109,33.1,0.267,0.555,0.97,1
CELL_0372,21.89368,79.84105,1.46,0.798,0.723,0.591,0.745,435.6,18.3,0.385,-0.039,31.8,0.323,0.565,0.97,1
CELL_0373,21.89368,79.84842,1.98,0.687,0.586,0.812,0.828,430.7,14.6,0.349,-0.013,34.1,0.364,0.672,0.97,1
CELL_0374,21.89368,79.85579,2.65,0.589,0.639,0.581,0.552,426.3,13.3,0.405,-0.022,32.2,0.261,0.605,0.915,1
CELL_0375,21.89368,79.86316,3.38,0.417,0.492,0.333,0.494,400.5,12.2,0.474,0.008,35.8,0.34,0.572,0.497,0
CELL_0376,21.89368,79.87053,4.15,0.613,0.513,0.409,0.521,406.7,14.2,0.533,-0.098,32.8,0.266,0.469,0.689,1
CELL_0377,21.89368,79.87789,4.93,0.384,0.517,0.507,0.292,421.1,11.1,0.471,-0.048,32.4,0.245,0.514,0.41,0
CELL_0378,21.89368,79.88526,5.73,0.603,0.65,0.146,0.454,428.2,17.6,0.409,-0.09,33.2,0.249,0.564,0.398,0
CELL_0379,21.89368,79.89263,6.38,0.142,0.179,0.211,0.372,416.5,2.7,0.496,-0.02,33.2,0.253,0.435,0.04,0
CELL_0380,21.89368,79.9,6.86,0.236,0.355,0.401,0.346,433.5,8.3,0.446,-0.036,32.1,0.2,0.567,0.127,0
CELL_0381,21.9,79.76,6.33,0.341,0.282,0.372,0.283,417.2,7.2,0.26,-0.019,35.8,0.296,0.771,0.12,0
CELL_0382,21.9,79.76737,5.7,0.451,0.465,0.618,0.284,410.6,9.4,0.301,-0.003,32.7,0.306,0.638,0.436,0
CELL_0383,21.9,79.77474,5.14,0.314,0.257,0.333,0.454,416.4,8.4,0.29,-0.029,35.8,0.343,0.882,0.201,0
CELL_0384,21.9,79.78211,4.64,0.526,0.419,0.552,0.343,451.6,17.3,0.212,-0.079,32.9,0.277,0.743,0.647,1
CELL_0385,21.9,79.78947,4.25,0.533,0.545,0.44,0.481,413.4,12.9,0.288,-0.052,34.4,0.294,0.657,0.653,1
